Series ID,Year,Period,Label,Value,1-Month % Change
SMS27000000000000001,2014,M04,2014 Apr,2795.2,0.1
SMS27000000000000001,2014,M05,2014 May,2807.7,0.4
SMS27000000000000001,2014,M06,2014 Jun,2813.2,0.2
SMS27000000000000001,2014,M07,2014 Jul,2816,0.1
SMS27000000000000001,2014,M08,2014 Aug,2819.5,0.1
SMS27000000000000001,2014,M09,2014 Sep,2819.9,0
SMS27000000000000001,2014,M10,2014 Oct,2823.2,0.1
SMS27000000000000001,2014,M11,2014 Nov,2828.5,0.2
SMS27000000000000001,2014,M12,2014 Dec,2832.8,0.2
SMS27000000000000001,2015,M01,2015 Jan,2832.1,0
SMS27000000000000001,2015,M02,2015 Feb,2836.6,0.2
SMS27000000000000001,2015,M03,2015 Mar,2840.7,0.1
SMS27000000000000001,2015,M04,2015 Apr,2846.5,0.2
SMS27000000000000001,2015,M05,2015 May,2855.6,0.3
SMS27000000000000001,2015,M06,2015 Jun,2855,0
SMS27000000000000001,2015,M07,2015 Jul,2859.6,0.2
SMS27000000000000001,2015,M08,2015 Aug,2859.7,0
SMS27000000000000001,2015,M09,2015 Sep,2859.4,0
SMS27000000000000001,2015,M10,2015 Oct,2868.9,0.3
SMS27000000000000001,2015,M11,2015 Nov,2874.2,0.2
SMS27000000000000001,2015,M12,2015 Dec,2876.2,0.1
SMS27000000000000001,2016,M01,2016 Jan,2877.6,0
SMS27000000000000001,2016,M02,2016 Feb,2880.3,0.1
SMS27000000000000001,2016,M03,2016 Mar,2883,0.1
SMS27000000000000001,2016,M04,2016 Apr,2888.1,0.2
SMS27000000000000001,2016,M05,2016 May,2888.3,0
SMS27000000000000001,2016,M06,2016 Jun,2879,-0.3
SMS27000000000000001,2016,M07,2016 Jul,2898.5,0.7
SMS27000000000000001,2016,M08,2016 Aug,2904.2,0.2
SMS27000000000000001,2016,M09,2016 Sep,2907.1,0.1
SMS27000000000000001,2016,M10,2016 Oct,2906.3,0
SMS27000000000000001,2016,M11,2016 Nov,2909.2,0.1
SMS27000000000000001,2016,M12,2016 Dec,2908.3,0
SMS27000000000000001,2017,M01,2017 Jan,2924,0.5
SMS27000000000000001,2017,M02,2017 Feb,2925,0
SMS27000000000000001,2017,M03,2017 Mar,2932.6,0.3
SMS27000000000000001,2017,M04,2017 Apr,2927.7,-0.2
SMS27000000000000001,2017,M05,2017 May,2924.4,-0.1
SMS27000000000000001,2017,M06,2017 Jun,2934,0.3
SMS27000000000000001,2017,M07,2017 Jul,2933.1,0
SMS27000000000000001,2017,M08,2017 Aug,2933.3,0
SMS27000000000000001,2017,M09,2017 Sep,2936.6,0.1
SMS27000000000000001,2017,M10,2017 Oct,2937.8,0
SMS27000000000000001,2017,M11,2017 Nov,2940.4,0.1
SMS27000000000000001,2017,M12,2017 Dec,2942.8,0.1
SMS27000000000000001,2018,M01,2018 Jan,2953.3,0.4
SMS27000000000000001,2018,M02,2018 Feb,2954.2,0
SMS27000000000000001,2018,M03,2018 Mar,2950.1,-0.1
SMS27000000000000001,2018,M04,2018 Apr,2939,-0.4
SMS27000000000000001,2018,M05,2018 May,2953.1,0.5
SMS27000000000000001,2018,M06,2018 Jun,2954.3,0
SMS27000000000000001,2018,M07,2018 Jul,2961.6,0.2
SMS27000000000000001,2018,M08,2018 Aug,2960.9,0
SMS27000000000000001,2018,M09,2018 Sep,2958.1,-0.1
SMS27000000000000001,2018,M10,2018 Oct,2962.1,0.1
SMS27000000000000001,2018,M11,2018 Nov,2961.9,0
SMS27000000000000001,2018,M12,2018 Dec,2961.1,0
SMS27000000000000001,2019,M01,2019 Jan,2964.5,0.1
SMS27000000000000001,2019,M02,2019 Feb,2956.7,-0.3
SMS27000000000000001,2019,M03,2019 Mar,2958.2,0.1
SMS27000000000000001,2019,M04,2019 Apr,2958.4,0
SMS27000000000000001,2019,M05,2019 May,2960.4,0.1
SMS27000000000000001,2019,M06,2019 Jun,2963.7,0.1
SMS27000000000000001,2019,M07,2019 Jul,2962.6,0
SMS27000000000000001,2019,M08,2019 Aug,2963,0
SMS27000000000000001,2019,M09,2019 Sep,2963.1,0
