Series ID,Year,Period,Label,Value,1-Month % Change
SMS27000000000000001,2010,M01,2010 Jan,2625.9,-0.1
SMS27000000000000001,2010,M02,2010 Feb,2623.7,-0.1
SMS27000000000000001,2010,M03,2010 Mar,2626.2,0.1
SMS27000000000000001,2010,M04,2010 Apr,2635.5,0.4
SMS27000000000000001,2010,M05,2010 May,2637.6,0.1
SMS27000000000000001,2010,M06,2010 Jun,2637.1,0
SMS27000000000000001,2010,M07,2010 Jul,2635.8,0
SMS27000000000000001,2010,M08,2010 Aug,2638.6,0.1
SMS27000000000000001,2010,M09,2010 Sep,2634,-0.2
SMS27000000000000001,2010,M10,2010 Oct,2649.9,0.6
SMS27000000000000001,2010,M11,2010 Nov,2653,0.1
SMS27000000000000001,2010,M12,2010 Dec,2651.6,-0.1
SMS27000000000000001,2011,M01,2011 Jan,2660.5,0.3
SMS27000000000000001,2011,M02,2011 Feb,2664.9,0.2
SMS27000000000000001,2011,M03,2011 Mar,2667.8,0.1
SMS27000000000000001,2011,M04,2011 Apr,2674.1,0.2
SMS27000000000000001,2011,M05,2011 May,2681.4,0.3
SMS27000000000000001,2011,M06,2011 Jun,2681.2,0
SMS27000000000000001,2011,M07,2011 Jul,2664.5,-0.6
SMS27000000000000001,2011,M08,2011 Aug,2689,0.9
SMS27000000000000001,2011,M09,2011 Sep,2703.8,0.6
SMS27000000000000001,2011,M10,2011 Oct,2696.5,-0.3
SMS27000000000000001,2011,M11,2011 Nov,2699.1,0.1
SMS27000000000000001,2011,M12,2011 Dec,2703.9,0.2
SMS27000000000000001,2012,M01,2012 Jan,2704.1,0
SMS27000000000000001,2012,M02,2012 Feb,2708.4,0.2
SMS27000000000000001,2012,M03,2012 Mar,2717.8,0.3
SMS27000000000000001,2012,M04,2012 Apr,2723.5,0.2
SMS27000000000000001,2012,M05,2012 May,2717.4,-0.2
SMS27000000000000001,2012,M06,2012 Jun,2721.5,0.2
SMS27000000000000001,2012,M07,2012 Jul,2713.7,-0.3
SMS27000000000000001,2012,M08,2012 Aug,2724.3,0.4
SMS27000000000000001,2012,M09,2012 Sep,2738.7,0.5
SMS27000000000000001,2012,M10,2012 Oct,2739.6,0
SMS27000000000000001,2012,M11,2012 Nov,2745.2,0.2
SMS27000000000000001,2012,M12,2012 Dec,2748.9,0.1
SMS27000000000000001,2013,M01,2013 Jan,2757.2,0.3
SMS27000000000000001,2013,M02,2013 Feb,2765.7,0.3
SMS27000000000000001,2013,M03,2013 Mar,2768.8,0.1
SMS27000000000000001,2013,M04,2013 Apr,2752.9,-0.6
SMS27000000000000001,2013,M05,2013 May,2767.8,0.5
SMS27000000000000001,2013,M06,2013 Jun,2770.9,0.1
SMS27000000000000001,2013,M07,2013 Jul,2759.8,-0.4
SMS27000000000000001,2013,M08,2013 Aug,2773.5,0.5
SMS27000000000000001,2013,M09,2013 Sep,2786.4,0.5
SMS27000000000000001,2013,M10,2013 Oct,2789.5,0.1
SMS27000000000000001,2013,M11,2013 Nov,2790.8,0
SMS27000000000000001,2013,M12,2013 Dec,2793.9,0.1
SMS27000000000000001,2014,M01,2014 Jan,2791.6,-0.1
SMS27000000000000001,2014,M02,2014 Feb,2794.4,0.1
SMS27000000000000001,2014,M03,2014 Mar,2793.1,0
